,Date_,Green Tea St,Hazelnut St,Mango St,Mint Choco
0,2017-04-02,0.0,260.0,338.0,80.0
1,2017-04-09,234.0,468.0,1118.0,120.0
2,2017-04-16,130.0,130.0,468.0,0.0
3,2017-04-23,468.0,466.33333,1661.14286,40.0
4,2017-04-30,806.0,1274.0,570.3333299999999,0.0
5,2017-05-07,468.0,676.0,520.0,120.0
6,2017-05-14,78.0,156.0,494.0,240.0
7,2017-05-21,286.0,130.0,494.0,120.0
8,2017-05-28,154.33333,78.0,466.33333,0.0
9,2017-06-04,208.0,50.333330000000004,490.66666,0.0
10,2017-06-11,572.0,52.0,260.0,0.0
11,2017-06-18,156.0,364.0,830.33334,0.0
12,2017-06-25,182.0,312.0,78.0,0.0
13,2017-07-02,128.0,130.0,492.0,0.0
14,2017-07-09,286.0,364.0,390.0,80.0
15,2017-07-16,676.0,520.0,208.0,240.0
16,2017-07-23,78.0,130.0,130.0,320.0
17,2017-07-30,208.0,234.0,754.0,240.0
18,2017-08-06,104.0,156.0,234.0,360.0
19,2017-08-13,104.0,364.0,624.0,160.0
20,2017-08-20,182.0,208.0,676.0,280.0
21,2017-08-27,130.0,104.0,364.0,0.0
22,2017-09-03,572.0,208.0,416.0,0.0
23,2017-09-10,649.16667,806.0,335.50001000000003,0.0
24,2017-09-17,442.0,390.0,52.0,40.0
25,2017-09-24,936.0,286.0,936.0,80.0
26,2017-10-01,1430.0,1508.0,728.0,40.0
